도시,년,월,일,계절,날씨,기온,풍속,강수량
삿포로,2012,1,1,겨울,흐림,-0.1,2.4,1.5
삿포로,2012,1,2,겨울,눈,-0.7,2.4,2.5
삿포로,2012,1,3,겨울,눈,-3.5,6.6,5.5
삿포로,2012,1,4,겨울,맑음,-3.4,4.8,3.5
삿포로,2012,1,5,겨울,눈,-0.6,6.2,11.5
삿포로,2012,1,6,겨울,흐림,-0.3,1.9,11
삿포로,2012,1,7,겨울,다소흐림,-1.8,2.6,0
삿포로,2012,1,8,겨울,눈,-5.5,1.4,0
삿포로,2012,1,9,겨울,맑음,-2.8,2.7,2.5
삿포로,2012,1,10,겨울,맑음,-4.7,2.5,8
삿포로,2012,1,11,겨울,다소흐림,-7.6,5.6,2
삿포로,2012,1,12,겨울,맑음,-6.9,2.9,3.5
삿포로,2012,1,13,겨울,눈,-6.2,2.9,0
삿포로,2012,1,14,겨울,맑음,-8,4.9,0.5
삿포로,2012,1,15,겨울,눈,-6.1,4.9,0
삿포로,2012,1,16,겨울,맑음,-5.5,3.3,1
삿포로,2012,1,17,겨울,맑음,-5,1.8,0
삿포로,2012,1,18,겨울,맑음,-3.6,1.8,0
삿포로,2012,1,19,겨울,맑음,-4.2,1.1,0
삿포로,2012,1,20,겨울,맑음,-5.8,2,0
삿포로,2012,1,21,겨울,눈,-4.7,3.2,0
삿포로,2012,1,22,겨울,눈,0.9,4.7,0.5
삿포로,2012,1,23,겨울,눈,-2.4,5.3,6
삿포로,2012,1,24,겨울,맑음,-5.7,3.4,1.5
삿포로,2012,1,25,겨울,맑음,-7,2,0
삿포로,2012,1,26,겨울,흐림,-7.6,2.8,0
삿포로,2012,1,27,겨울,맑음,-7.9,2.8,1.5
삿포로,2012,1,28,겨울,눈,-6.6,4.9,3
삿포로,2012,1,29,겨울,흐림,-4.4,2.4,4.5
삿포로,2012,1,30,겨울,다소흐림,-5.6,1.6,0
삿포로,2012,1,31,겨울,다소흐림,-5.4,2.4,1.5
삿포로,2012,2,1,겨울,흐림,-7.6,2.3,0
삿포로,2012,2,2,겨울,흐림,-7.8,2.5,3.5
삿포로,2012,2,3,겨울,맑음,-6.6,2.6,2
삿포로,2012,2,4,겨울,눈,-6.3,2.5,3.5
삿포로,2012,2,5,겨울,눈,-3,2.8,0
삿포로,2012,2,6,겨울,눈,0.7,3.2,0
삿포로,2012,2,7,겨울,눈,0.3,2.6,3
삿포로,2012,2,8,겨울,쾌청,-4.7,4.3,0
삿포로,2012,2,9,겨울,눈,-5.6,3.2,0
삿포로,2012,2,10,겨울,눈,-7.4,4.2,0.5
삿포로,2012,2,11,겨울,눈,-7.2,3.6,2
삿포로,2012,2,12,겨울,눈,-7.6,5.6,2
삿포로,2012,2,13,겨울,맑음,-2.7,3.6,0.5
삿포로,2012,2,14,겨울,맑음,0.4,1.9,0
삿포로,2012,2,15,겨울,눈,-3.9,4.7,3
삿포로,2012,2,16,겨울,눈,-5.4,4.5,2
삿포로,2012,2,17,겨울,맑음,-6.8,2.1,0
삿포로,2012,2,18,겨울,눈,-8.3,1.6,3.5
삿포로,2012,2,19,겨울,흐림,-6.5,1.3,2
삿포로,2012,2,20,겨울,맑음,-2.9,2.5,0.5
삿포로,2012,2,21,겨울,눈,-4.4,5.9,1.5
삿포로,2012,2,22,겨울,흐림,-2.2,2.3,0
삿포로,2012,2,23,겨울,다소흐림,-0.3,3.6,11
삿포로,2012,2,24,겨울,눈,-2.8,3.6,10.5
삿포로,2012,2,25,겨울,눈,-7,2.2,2.5
삿포로,2012,2,26,겨울,눈,-4.3,4,3
삿포로,2012,2,27,겨울,눈,-4.6,4.7,0.5
삿포로,2012,2,28,겨울,맑음,-4,2.4,0
삿포로,2012,2,29,겨울,맑음,0.8,3.1,0
삿포로,2012,3,1,봄,흐림,2.5,2.8,0
삿포로,2012,3,2,봄,다소흐림,-0.6,4.5,0
삿포로,2012,3,3,봄,맑음,-4,3.6,3.5
삿포로,2012,3,4,봄,눈,-4.5,3.3,2.5
삿포로,2012,3,5,봄,다소흐림,-4.7,1.7,2
삿포로,2012,3,6,봄,흐림,1.6,1.9,5
삿포로,2012,3,7,봄,흐림,3.7,4.2,0.5
삿포로,2012,3,8,봄,눈,0.3,2.7,1
삿포로,2012,3,9,봄,다소흐림,0,2.2,0
삿포로,2012,3,10,봄,쾌청,-0.6,1.6,0
삿포로,2012,3,11,봄,맑음,-1.1,3.7,0
삿포로,2012,3,12,봄,흐림,-1.4,2.3,0
삿포로,2012,3,13,봄,눈,-2,3.1,0.5
삿포로,2012,3,14,봄,흐림,-1.1,3.5,0
삿포로,2012,3,15,봄,눈,0.5,5.2,0
삿포로,2012,3,16,봄,맑음,1.4,2.9,0
삿포로,2012,3,17,봄,비,2.9,6,0
삿포로,2012,3,18,봄,눈,-1,5,4.5
삿포로,2012,3,19,봄,눈,-4.4,4.6,3
삿포로,2012,3,20,봄,눈,-3.9,3,2
삿포로,2012,3,21,봄,흐림,-0.8,3.3,0
삿포로,2012,3,22,봄,비,1.9,3,1
삿포로,2012,3,23,봄,흐림,2.3,3.4,1
삿포로,2012,3,24,봄,눈,-0.5,1.9,8
삿포로,2012,3,25,봄,눈,-1.5,2.6,2.5
삿포로,2012,3,26,봄,맑음,-1,3,0.5
삿포로,2012,3,27,봄,맑음,0.1,3,3
삿포로,2012,3,28,봄,쾌청,1.6,2.8,0
삿포로,2012,3,29,봄,맑음,5.6,3.1,0
삿포로,2012,3,30,봄,다소흐림,9.5,6.5,0
삿포로,2012,3,31,봄,눈,1.8,5,4
삿포로,2012,4,1,봄,맑음,0.1,5.4,0.5
삿포로,2012,4,2,봄,눈,-0.5,2.8,0
삿포로,2012,4,3,봄,눈,0.8,3.7,13
삿포로,2012,4,4,봄,눈,1.3,7.3,11.5
삿포로,2012,4,5,봄,맑음,1.8,4.4,0
삿포로,2012,4,6,봄,눈,-0.1,2.6,1
삿포로,2012,4,7,봄,눈,-0.9,2.3,4
삿포로,2012,4,8,봄,흐림,1.9,2.5,1
삿포로,2012,4,9,봄,다소흐림,4.7,5.8,1.5
삿포로,2012,4,10,봄,맑음,7.2,2.7,0
삿포로,2012,4,11,봄,비,7.7,6.1,0.5
삿포로,2012,4,12,봄,쾌청,8.3,4.5,0
삿포로,2012,4,13,봄,흐림,6.4,5.2,0
삿포로,2012,4,14,봄,쾌청,6.7,2.2,0
삿포로,2012,4,15,봄,쾌청,5,2.7,0
삿포로,2012,4,16,봄,다소흐림,5.9,6,0
삿포로,2012,4,17,봄,흐림,6.6,3.2,0.5
삿포로,2012,4,18,봄,안개비,7.1,1.3,0
삿포로,2012,4,19,봄,흐림,9.2,2.1,0
삿포로,2012,4,20,봄,맑음,8.5,2.3,0
삿포로,2012,4,21,봄,맑음,10.1,2.6,0
삿포로,2012,4,22,봄,다소흐림,9.1,9.5,0
삿포로,2012,4,23,봄,흐림,10.5,6.8,0
삿포로,2012,4,24,봄,흐림,11.4,2.8,0
삿포로,2012,4,25,봄,맑음,12.9,2.8,0
삿포로,2012,4,26,봄,흐림,12.1,10.6,1
삿포로,2012,4,27,봄,맑음,12.4,3.5,0
삿포로,2012,4,28,봄,쾌청,14,3.7,0
삿포로,2012,4,29,봄,비,14.5,4.8,0
삿포로,2012,4,30,봄,쾌청,16.6,3.7,0
삿포로,2012,5,1,봄,다소흐림,18,4.3,0
삿포로,2012,5,2,봄,맑음,17.1,5.4,0
삿포로,2012,5,3,봄,흐림,15,8,8
삿포로,2012,5,4,봄,비,13.5,1.7,45.5
삿포로,2012,5,5,봄,비,12.6,2.8,7.5
삿포로,2012,5,6,봄,흐림,12.7,3.8,9
삿포로,2012,5,7,봄,흐림,11.8,3.7,3
삿포로,2012,5,8,봄,다소흐림,13.3,2.3,0
삿포로,2012,5,9,봄,맑음,11.9,3.3,0
삿포로,2012,5,10,봄,맑음,10.8,3.9,0
삿포로,2012,5,11,봄,흐림,8.8,4.4,0
삿포로,2012,5,12,봄,흐림,6.7,7.9,2
삿포로,2012,5,13,봄,맑음,9.9,6.3,0
삿포로,2012,5,14,봄,맑음,12,2.6,0
삿포로,2012,5,15,봄,흐림,11.7,4.8,2
삿포로,2012,5,16,봄,흐림,11.6,2.8,5
삿포로,2012,5,17,봄,맑음,13.5,2.2,0
삿포로,2012,5,18,봄,맑음,12,3.6,0
삿포로,2012,5,19,봄,맑음,11.5,4.9,0
삿포로,2012,5,20,봄,쾌청,13.3,2.1,0
삿포로,2012,5,21,봄,쾌청,13.8,2.9,0
삿포로,2012,5,22,봄,쾌청,16.1,4.5,0
삿포로,2012,5,23,봄,흐림,15.4,2.8,0
삿포로,2012,5,24,봄,쾌청,16.3,4.9,0
삿포로,2012,5,25,봄,맑음,16.5,2.9,0
삿포로,2012,5,26,봄,맑음,14.2,4.8,0
삿포로,2012,5,27,봄,흐림,10.9,5.7,0
삿포로,2012,5,28,봄,다소흐림,11.7,5.7,0
삿포로,2012,5,29,봄,흐림,13.5,3.8,1.5
삿포로,2012,5,30,봄,맑음,13.3,3.6,0
삿포로,2012,5,31,봄,쾌청,14.2,2.7,0
삿포로,2012,6,1,여름,흐림,14,3.3,0.5
삿포로,2012,6,2,여름,쾌청,14.7,2.3,0
삿포로,2012,6,3,여름,쾌청,14.1,3.5,0
삿포로,2012,6,4,여름,맑음,17.4,2.5,0
